City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
151,Sur,OM,22.5667,59.5289,80.49,45,0,3.0,clear sky
152,Marsabit,KE,2.3284,37.9899,68.92,73,57,9.53,broken clouds
153,Kuching,MY,1.55,110.3333,79.02,89,20,2.3,few clouds
154,Anadyr,RU,64.75,177.4833,7.3,77,75,20.13,light snow
155,Kijang,KR,35.2442,129.2139,47.93,66,100,14.79,overcast clouds
156,Krutinka,RU,56.0055,71.5113,33.94,99,100,17.9,snow
157,Martapura,ID,-3.4167,114.85,77.09,100,100,2.3,overcast clouds
158,Itajuba,BR,-22.4256,-45.4528,82.76,69,66,2.39,moderate rain
159,Hermanus,ZA,-34.4187,19.2345,64.8,72,63,8.7,broken clouds
160,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,85.86,60,94,4.59,overcast clouds
161,Lincoln,US,40.8,-96.667,39.9,66,100,12.66,overcast clouds
162,Camaqua,BR,-30.8511,-51.8122,67.64,34,2,6.69,clear sky
163,Beringovskiy,RU,63.05,179.3167,4.64,93,100,20.22,light snow
164,Erzin,TR,36.9559,36.2,60.44,66,80,4.12,broken clouds
165,Ponta Do Sol,PT,32.6667,-17.1,68.0,76,42,2.57,scattered clouds
166,Ambon,ID,-3.6954,128.1814,80.74,83,20,6.91,few clouds
167,Mayo,US,38.8876,-76.5119,73.56,79,75,25.01,broken clouds
168,Lisala,CD,2.15,21.5167,83.14,49,83,2.98,broken clouds
169,Kaoma,ZM,-14.7833,24.8,66.56,91,71,4.68,broken clouds
170,Taoudenni,ML,22.6783,-3.9836,90.79,7,100,7.36,overcast clouds
171,Baiyin,CN,36.5583,104.2081,45.43,30,99,6.02,overcast clouds
172,Nouadhibou,MR,20.931,-17.0347,75.18,50,0,19.57,sand
173,Riberalta,BO,-10.9833,-66.1,86.2,74,75,6.91,broken clouds
174,Acarau,BR,-2.8856,-40.12,76.28,88,100,7.31,moderate rain
175,Yajalon,MX,17.2333,-92.3333,78.62,31,2,3.49,clear sky
176,Ostrovnoy,RU,68.0531,39.5131,22.3,78,100,9.51,overcast clouds
177,Kasongo-Lunda,CD,-6.4667,16.8167,73.15,97,83,2.62,moderate rain
178,Tefe,BR,-3.3542,-64.7114,84.31,84,40,4.61,scattered clouds
179,Lafiagi,NG,8.8667,5.4167,104.88,17,60,4.85,broken clouds
180,Ulladulla,AU,-35.35,150.4667,58.77,81,94,22.06,light rain
181,Caconda,AO,-13.7333,15.0667,65.46,86,86,2.48,moderate rain
182,Sao Francisco De Paula,BR,-29.4481,-50.5836,61.68,38,3,5.48,clear sky
183,Zaysan,KZ,47.4667,84.8667,32.74,68,22,4.54,few clouds
184,Saint-Francois,FR,46.4154,3.9054,45.84,77,75,14.97,broken clouds
185,Namie,JP,37.4833,141.0,43.72,69,100,11.92,moderate rain
186,Agropoli,IT,40.3469,14.9966,58.08,94,100,11.32,overcast clouds
187,Hay River,CA,60.8156,-115.7999,17.58,86,100,18.41,light snow
188,Muros,ES,42.7762,-9.0603,58.08,70,39,14.12,scattered clouds
189,Griffith,US,41.5284,-87.4237,39.13,90,100,6.91,overcast clouds
190,Mitu,CO,1.1983,-70.1733,88.95,52,55,3.91,light rain
191,Burns Lake,CA,54.2331,-125.7533,35.02,74,35,4.9,scattered clouds
192,Maglajani,BA,44.9486,17.3494,53.62,100,40,2.3,scattered clouds
193,Beloha,MG,-25.1667,45.05,73.49,77,0,15.41,clear sky
194,Lahad Datu,MY,5.0268,118.327,75.76,93,16,3.36,few clouds
195,Dalvik,IS,65.9702,-18.5286,33.73,98,100,2.77,light snow
196,Hithadhoo,MV,-0.6,73.0833,83.34,70,5,5.08,clear sky
197,Pombas,CV,17.1503,-25.0201,74.98,75,21,14.29,few clouds
198,Akyab,MM,20.15,92.9,79.97,86,61,5.91,broken clouds
199,Lewiston,US,44.1003,-70.2148,46.02,90,100,6.91,overcast clouds
200,Bam,IR,29.106,58.357,72.79,8,1,1.97,clear sky
201,Nantucket,US,41.2835,-70.0995,59.11,77,40,17.27,scattered clouds
202,Hami,CN,42.8,93.45,47.77,22,0,4.23,clear sky
203,Mangrol,IN,21.1167,70.1167,76.87,75,0,8.3,clear sky
204,Tautira,PF,-17.7333,-149.15,80.87,72,39,11.68,scattered clouds
205,Lasa,IT,46.6166,10.7002,50.68,96,100,3.11,overcast clouds
206,Dongsheng,CN,39.8161,109.9776,37.69,35,15,13.29,few clouds
207,Balkanabat,TM,39.5108,54.3671,62.74,39,54,7.67,broken clouds
208,Diplo,PK,24.4667,69.584,80.78,46,0,10.92,clear sky
209,Mortka,RU,59.3322,66.0214,15.24,94,98,3.83,overcast clouds
210,Provideniya,RU,64.3833,-173.3,18.66,84,100,19.48,overcast clouds
211,Lahuachaca,BO,-17.3667,-67.6667,57.63,42,100,6.11,overcast clouds
212,Alice Springs,AU,-23.7,133.8833,53.15,58,54,6.91,broken clouds
213,Narsaq,GL,60.9167,-46.05,39.42,69,97,3.29,overcast clouds
214,Nome,US,64.5011,-165.4064,26.67,50,0,23.02,clear sky
215,Papara,BR,-3.9839,-38.7273,84.6,91,100,1.54,overcast clouds
216,San Patricio,US,28.017,-97.5169,77.16,33,9,5.03,clear sky
217,Tura,IN,25.5198,90.2201,70.66,87,57,4.18,broken clouds
218,New Norfolk,AU,-42.7826,147.0587,54.9,64,68,1.01,broken clouds
219,Lorengau,PG,-2.0226,147.2712,78.87,88,100,18.43,overcast clouds
220,Bambous Virieux,MU,-20.3428,57.7575,79.05,78,75,16.11,light rain
221,San Jeronimo,PE,-11.9472,-75.2829,53.15,81,94,6.2,overcast clouds
222,Ust-Kan,RU,50.9276,84.761,18.18,91,78,4.21,broken clouds
223,Damara,CF,4.9608,18.7035,91.98,28,51,5.23,broken clouds
224,Alofi,NU,-19.0595,-169.9187,69.69,94,52,3.44,broken clouds
225,Vila Velha,BR,-20.3297,-40.2925,89.55,70,20,14.97,few clouds
226,Barcelos,PT,41.5388,-8.6151,57.85,68,71,13.11,broken clouds
227,Jingdezhen,CN,29.2947,117.2079,50.79,92,100,4.21,overcast clouds
228,Longyan,CN,25.1072,117.0225,66.22,98,99,1.57,overcast clouds
229,Rio Gallegos,AR,-51.6226,-69.2181,59.05,33,0,18.41,clear sky
230,Sirohi,IN,24.8833,72.8667,84.96,19,0,5.5,clear sky
231,Gimli,CA,50.6336,-96.9907,23.02,74,34,3.44,scattered clouds
232,Bagan,RU,54.1001,77.6646,32.29,85,100,13.18,overcast clouds
233,Taiyuan,CN,37.8694,112.5603,44.46,33,0,13.42,clear sky
234,Paamiut,GL,61.994,-49.6678,34.63,94,95,5.99,overcast clouds
235,Torbay,CA,47.6666,-52.7314,42.28,69,75,13.8,broken clouds
236,Nchelenge,ZM,-9.3451,28.734,70.41,83,87,5.35,overcast clouds
237,Namibe,AO,-15.1961,12.1522,73.35,75,58,11.92,broken clouds
238,Chokurdakh,RU,70.6333,147.9167,-31.47,100,91,1.59,overcast clouds
239,Shangzhi,CN,45.2167,127.9667,28.72,45,14,3.89,few clouds
240,Kruisfontein,ZA,-34.0033,24.7314,64.89,80,100,5.32,overcast clouds
241,Inverell,AU,-29.7833,151.1167,54.66,84,0,1.99,clear sky
242,The Valley,AI,18.217,-63.0578,84.06,61,20,19.57,few clouds
243,San Quintin,MX,30.4833,-115.95,61.63,67,92,13.04,overcast clouds
244,Monte Alegre,BR,-2.0078,-54.0692,76.8,86,99,2.08,overcast clouds
245,Deputatskiy,RU,69.3,139.9,-20.43,99,30,4.63,scattered clouds
246,Constantine,DZ,36.365,6.6147,53.01,66,40,19.57,scattered clouds
247,Isla Mujeres,MX,21.2311,-86.731,86.16,74,5,18.63,clear sky
248,Dwarka,IN,22.2394,68.9678,78.33,73,0,9.08,clear sky
249,Olafsvik,IS,64.8945,-23.7142,39.72,79,97,7.0,overcast clouds
250,Middle Island,US,40.8843,-72.9373,59.85,84,100,18.41,mist
251,Nador,MA,35.174,-2.9287,62.85,67,75,16.11,broken clouds
252,Gornopravdinsk,RU,60.05,69.9,18.12,94,97,5.35,overcast clouds
253,Seoul,KR,37.5683,126.9778,42.24,87,0,3.44,clear sky
254,Grand-Lahou,CI,5.1367,-5.0242,84.0,77,43,12.39,scattered clouds
255,Joshimath,IN,30.5667,79.5667,54.16,41,0,8.37,clear sky
256,Asau,RO,46.4333,26.4,60.28,53,100,6.02,overcast clouds
257,Funtua,NG,11.5233,7.3081,94.51,6,19,8.34,few clouds
258,Komsomolskiy,UZ,40.4272,71.7189,54.32,62,0,2.3,clear sky
259,Nadym,RU,65.5333,72.5167,17.37,78,100,22.82,overcast clouds
260,Arraial Do Cabo,BR,-22.9661,-42.0278,84.16,78,20,12.66,few clouds
261,Taltal,CL,-25.4,-70.4833,67.12,67,11,4.74,few clouds
262,Meulaboh,ID,4.1363,96.1285,78.06,83,98,3.2,overcast clouds
263,Bom Jesus Da Lapa,BR,-13.255,-43.4181,98.76,23,38,0.81,scattered clouds
264,Renfrew,GB,55.872,-4.3925,46.56,49,93,10.36,overcast clouds
265,Sompeta,IN,18.9333,84.6,80.06,85,6,13.18,clear sky
266,Altamont,US,42.2068,-121.7372,41.77,64,0,4.0,clear sky
267,Pagudpud,PH,18.5616,120.7868,78.37,88,57,13.73,broken clouds
268,Shaoyang,CN,27.2315,111.4525,53.06,85,100,5.12,overcast clouds
269,Rawson,AR,-43.3002,-65.1023,69.42,24,71,11.1,broken clouds
270,Kavieng,PG,-2.5744,150.7967,81.63,78,100,15.46,light rain
