City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
174,Sibu,MY,2022-03-29 20:10:53,2.3,111.8167,74.23,97,100,0.89
175,Poli,TZ,2022-03-29 20:10:53,-3.3333,36.8,62.76,81,58,1.28
176,Zacualpan,MX,2022-03-29 20:11:54,21.25,-105.1667,96.42,43,2,7.23
177,San Quintin,MX,2022-03-29 20:11:54,30.4833,-115.95,62.55,68,39,20.31
178,Inirida,CO,2022-03-29 20:11:55,3.8653,-67.9239,78.03,87,100,1.12
179,Walvis Bay,NA,2022-03-29 20:11:55,-22.9575,14.5053,62.1,77,3,14.36
180,Truth Or Consequences,US,2022-03-29 20:07:00,33.1284,-107.2528,64.9,26,75,39.12
181,Lamballe,FR,2022-03-29 20:11:56,48.4676,-2.5144,50.11,93,46,4.0
182,Baykit,RU,2022-03-29 20:11:56,61.67,96.37,3.4,100,100,1.95
183,Souillac,MU,2022-03-29 20:11:56,-20.5167,57.5167,79.18,73,20,4.61
184,Terrace,CA,2022-03-29 20:07:11,54.5163,-128.6035,45.52,81,100,1.23
185,Kattivakkam,IN,2022-03-29 20:11:57,13.2167,80.3167,84.29,91,0,11.16
186,Takestan,IR,2022-03-29 20:11:57,36.0696,49.6959,49.1,37,0,6.11
187,Olinda,BR,2022-03-29 20:11:58,-8.0089,-34.8553,81.14,76,100,8.75
188,Camara De Lobos,PT,2022-03-29 20:11:58,32.6333,-16.9667,65.01,86,20,21.85
189,East London,ZA,2022-03-29 20:11:59,-33.0153,27.9116,76.48,74,66,21.34
190,Lincoln,US,2022-03-29 20:11:59,40.8,-96.667,72.14,43,0,21.85
191,Takoradi,GH,2022-03-29 20:11:59,4.8845,-1.7554,81.82,83,14,10.42
192,Ginda,IN,2022-03-29 20:12:00,30.6945,78.4932,57.7,21,0,7.7
193,Cururupu,BR,2022-03-29 20:12:00,-1.8283,-44.8683,76.87,94,100,2.06
194,Cabo San Lucas,MX,2022-03-29 20:08:55,22.8909,-109.9124,83.61,44,20,12.66
195,Nikolskoye,RU,2022-03-29 20:12:01,59.7035,30.7861,23.81,89,25,5.5
196,Bethel,US,2022-03-29 20:08:55,41.3712,-73.414,37.76,41,75,17.0
197,Arman,RU,2022-03-29 20:12:01,59.7,150.1667,12.15,78,100,8.41
198,Codrington,AU,2022-03-29 20:12:02,-38.2667,141.9667,57.67,67,99,9.66
199,Whitehorse,CA,2022-03-29 20:12:02,60.7161,-135.0538,38.1,64,100,11.99
200,Springbok,ZA,2022-03-29 20:12:03,-29.6643,17.8865,57.49,85,99,4.7
201,Gat,IL,2022-03-29 20:12:03,31.61,34.7642,66.4,45,33,7.76
202,Alyangula,AU,2022-03-29 20:12:04,-13.8483,136.4192,80.42,57,87,3.49
203,Vardo,NO,2022-03-29 20:12:04,70.3705,31.1107,30.18,69,40,26.46
204,Kaitangata,NZ,2022-03-29 20:12:05,-46.2817,169.8464,53.15,93,12,2.42
205,Tuktoyaktuk,CA,2022-03-29 20:12:05,69.4541,-133.0374,-13.61,94,46,7.05
206,Bonthe,SL,2022-03-29 20:12:05,7.5264,-12.505,79.05,77,15,9.93
207,Isangel,VU,2022-03-29 20:07:47,-19.55,169.2667,77.0,95,100,7.52
208,Opuwo,NA,2022-03-29 20:12:06,-18.0607,13.84,71.4,49,24,4.92
209,Tecoanapa,MX,2022-03-29 20:12:06,16.5167,-98.75,86.43,39,29,12.68
210,Tete,MZ,2022-03-29 20:12:07,-16.1564,33.5867,75.29,100,40,0.0
211,Talnakh,RU,2022-03-29 20:12:07,69.4865,88.3972,25.21,95,100,11.63
212,Kieta,PG,2022-03-29 20:12:08,-6.2167,155.6333,79.18,83,100,3.31
213,High Level,CA,2022-03-29 20:10:02,58.5169,-117.136,37.08,91,100,7.09
214,Korla,CN,2022-03-29 20:12:08,41.7597,86.1469,52.9,29,100,5.32
215,Inuvik,CA,2022-03-29 20:12:09,68.3499,-133.7218,-5.62,92,44,4.85
216,Castro,BR,2022-03-29 20:12:09,-24.7911,-50.0119,76.77,66,0,3.29
217,Luderitz,NA,2022-03-29 20:12:10,-26.6481,15.1594,63.88,81,45,10.6
218,Port Elizabeth,ZA,2022-03-29 20:12:10,-33.918,25.5701,66.31,90,100,11.01
